satisfaction with workload, satisfied with  work-life balance, mentally well and do not have anxiety ,satisfied with job profession ,satisfied  compensation ,family supports , satisfied with career and  opportunity,working hour, good relationship with peers , work is meaningful ,TOI (turnover intention),Closeness Coefficient,Category
5,5,4,5,5,5,4,1,4,5,0,0.449195738,Behavioral
4,4,3,4,4,4,4,2,3,5,0,0.45624614,Behavioral
4,4,4,3,4,4,4,1,4,5,0,0.389162762,Behavioral
1,2,2,2,2,2,3,4,3,2,1,0.507282725,Behavioral
4,4,3,4,5,4,4,2,4,4,0,0.470808265,Behavioral
5,4,4,4,5,5,4,1,5,5,0,0.440175951,Behavioral
4,4,4,4,5,4,5,2,5,5,0,0.504326779,Behavioral
4,4,4,4,4,5,3,1,4,5,0,0.400140083,Behavioral
4,4,5,4,5,5,4,2,5,4,0,0.514874342,Behavioral
2,2,2,2,2,2,3,4,3,2,1,0.523911383,Behavioral
4,4,4,3,5,4,3,1,4,5,0,0.395645518,Behavioral
4,4,4,5,4,4,4,2,4,5,0,0.484657314,Behavioral
4,4,3,4,5,5,4,2,4,5,0,0.488440857,Behavioral
5,5,4,5,5,5,5,1,5,4,0,0.456083534,Behavioral
4,4,4,4,4,4,4,2,5,4,0,0.47773294,Behavioral
4,4,4,3,5,4,5,1,4,5,0,0.411924519,Behavioral
4,4,4,4,3,4,5,2,5,4,0,0.473551462,Behavioral
4,4,4,4,5,4,4,2,4,4,0,0.485165606,Behavioral
4,4,3,4,4,4,4,2,3,4,0,0.449802346,Behavioral
4,4,5,4,5,4,4,2,4,4,0,0.499084509,Behavioral
2,2,2,2,2,2,2,4,3,3,1,0.521026646,Behavioral
4,4,4,4,4,4,3,2,5,5,0,0.474844776,Behavioral
4,4,4,5,4,5,4,2,5,4,0,0.496690489,Behavioral
4,4,4,4,4,4,4,1,3,4,0,0.384008286,Behavioral
4,4,4,4,4,4,4,2,3,5,0,0.471306775,Behavioral
4,4,4,4,4,4,4,1,4,4,0,0.389227979,Behavioral
4,4,4,4,4,4,3,2,4,4,0,0.462279525,Behavioral
2,2,2,2,3,2,2,4,3,4,1,0.540117472,Behavioral
4,4,3,4,4,4,4,2,3,4,0,0.449802346,Behavioral
4,4,3,3,4,4,3,2,4,4,0,0.438937635,Behavioral
4,4,4,4,3,4,4,2,3,4,0,0.451172331,Behavioral
4,4,3,3,5,4,4,2,4,4,0,0.463712865,Behavioral
4,4,3,4,3,3,3,2,4,4,0,0.417312641,Behavioral
4,4,4,4,4,3,4,2,3,4,0,0.452601336,Behavioral
4,4,3,3,4,4,3,2,4,4,0,0.438937635,Behavioral
2,2,1,2,3,2,3,5,2,2,1,0.59555377,Behavioral
4,4,3,4,4,4,4,2,3,4,0,0.449802346,Behavioral
4,4,3,4,4,5,3,2,5,4,1,0.467041911,Behavioral
4,4,4,4,5,3,3,2,4,4,0,0.464619655,Behavioral
2,2,2,2,3,2,3,4,2,3,1,0.536885149,Behavioral
4,4,3,4,3,3,4,2,4,4,1,0.427722091,Behavioral
5,4,4,4,3,4,3,1,5,4,0,0.393809756,Behavioral
5,4,3,4,4,3,4,1,5,4,0,0.389679065,Behavioral
